id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-10,47.959922,37.444086,Heorhiivka,Shelling at Heorhiivka,"Alternate place names: Georgiivka, Georgiyivka",DEFMON,[],[]
,2023-02-10,47.650279,36.294567,Hulyaipole,Shelling at Hulyaipole,"Alternate place names: Huliaipole, Huliaipilm, Gulyaipole, Gulyaypole",DEFMON,[],[]
,2023-02-10,47.579359,36.032024,Charivne,Shelling at Charivne,"Alternate place names: Charivne, Charivny",DEFMON,[],[]
,2023-02-10,47.549458,35.583744,Shcherbaky,Shelling at Shcherbaky,"Alternate place names: Shcherbaky, Shcherbaki",DEFMON,[],[]
,2023-02-10,47.67138,36.473174,Malynivka,Shelling at Malynivka,"Alternate place names: Malynivka, Malinivka, Malynyvka",DEFMON,[],[]
,2023-02-10,47.839867,36.847816,Velyka Novosilka,Shelling at Velyka Novosilka,"Alternate place names: Velyka Novosilka, Velika Novosilka, Veliky Novosilka, Velikay Novosilka",DEFMON,[],[]
,2023-02-10,47.832241,36.804251,Vremivka,Shelling at Vremivka,"Alternate place names: Vremivka, Time, Uremivka",DEFMON,[],[]
,2023-02-10,47.734746,36.535643,Ol'hivs'ke,Shelling at Ol'hivs'ke,"Alternate place names: Olhivske, Olgivskyi, Olgivske",DEFMON,[],[]
,2023-02-10,47.652738,36.377279,Chervone,Shelling at Chervone,"Alternate place names: Chervone, Chervony",DEFMON,[],[]
,2023-02-10,48.125621,37.659939,Sjeverne,Shelling at Sjeverne,"Alternate place names: Severny, Sievierne, Severnye, Severne, Severna",DEFMON,[],[]
,2023-02-10,47.789922,36.993237,Zolota Nyva,Shelling at Zolota Nyva,"Alternate place names: Zolota Nyva, Zolota Niva, Zolotaya Niva",DEFMON,[],[]
,2023-02-10,47.537099,35.704753,Novoandriivka,Shelling at Novoandriivka,"Alternate place names: Novoandriivka, Novoandriivka ",DEFMON,[],[]
,2023-02-10,47.526835,35.824365,Novodanylivka,Shelling at Novodanylivka,Alternate place names: Novodanilivka,DEFMON,[],[]
,2023-02-10,47.938845,37.51388,Mar'inka,Shelling at Mar'inka,"Alternate place names: Marinkam, Mariinka, Maryinka, Maryinka",DEFMON,[],[]
